filename,width,height,class,xmin,ymin,xmax,ymax
Boson_Capture_11_mp4-343_jpg.rf.f04c646a6df3d04662d903fa64211f61.jpg,416,416,Truck,7,172,47,225
Boson_Capture_11_mp4-343_jpg.rf.f04c646a6df3d04662d903fa64211f61.jpg,416,416,Car,66,188,97,227
Boson_Capture_11_mp4-343_jpg.rf.f04c646a6df3d04662d903fa64211f61.jpg,416,416,Car,278,223,360,278
Boson_Capture_11_mp4-362_jpg.rf.f29f111c40f28f268f66c49ebf7e3eea.jpg,416,416,Truck,350,169,393,223
Boson_Capture_11_mp4-362_jpg.rf.f29f111c40f28f268f66c49ebf7e3eea.jpg,416,416,Truck,0,0,238,415
Boson_Capture_11_mp4-362_jpg.rf.f29f111c40f28f268f66c49ebf7e3eea.jpg,416,416,Car,305,187,337,228
Boson_Capture_11_mp4-362_jpg.rf.f29f111c40f28f268f66c49ebf7e3eea.jpg,416,416,Car,255,193,286,228
Boson_Capture_11_mp4-233_jpg.rf.f170a117e6fd1e670848aea50919e81a.jpg,416,416,Truck,187,196,214,234
Boson_Capture_11_mp4-233_jpg.rf.f170a117e6fd1e670848aea50919e81a.jpg,416,416,Car,117,196,190,274
Boson_Capture_11_mp4-176_jpg.rf.f315689d0e078b04133c7e50ac82ada1.jpg,416,416,Car,262,206,276,221
Boson_Capture_11_mp4-176_jpg.rf.f315689d0e078b04133c7e50ac82ada1.jpg,416,416,Car,232,208,255,225
Boson_Capture_11_mp4-176_jpg.rf.f315689d0e078b04133c7e50ac82ada1.jpg,416,416,Car,172,210,203,238
Boson_Capture_11_mp4-316_jpg.rf.f43d56c9b8f3da07fa5cc566d0eaec2d.jpg,416,416,Car,89,211,264,308
Boson_Capture_11_mp4-383_jpg.rf.f11b83bdbfe7d8974bea992332a2ffd2.jpg,416,416,Car,276,208,297,233
Boson_Capture_11_mp4-383_jpg.rf.f11b83bdbfe7d8974bea992332a2ffd2.jpg,416,416,Car,239,205,279,247
Boson_Capture_11_mp4-383_jpg.rf.f11b83bdbfe7d8974bea992332a2ffd2.jpg,416,416,Truck,338,142,416,345
Boson_Capture_11_mp4-3_jpg.rf.f4ded31fd365d9a2f33ae6ca912fd5e0.jpg,416,416,Truck,260,191,327,223
Boson_Capture_11_mp4-3_jpg.rf.f4ded31fd365d9a2f33ae6ca912fd5e0.jpg,416,416,Car,142,206,223,270
Boson_Capture_11_mp4-3_jpg.rf.f4ded31fd365d9a2f33ae6ca912fd5e0.jpg,416,416,Car,59,212,188,300
Boson_Capture_11_mp4-3_jpg.rf.f4ded31fd365d9a2f33ae6ca912fd5e0.jpg,416,416,Car,0,225,87,296
Boson_Capture_11_mp4-360_jpg.rf.f22aedc7e0bfb05b3b8435feb1fd0b9b.jpg,416,416,Truck,12,167,64,232
Boson_Capture_11_mp4-360_jpg.rf.f22aedc7e0bfb05b3b8435feb1fd0b9b.jpg,416,416,Truck,174,0,415,415
Boson_Capture_11_mp4-360_jpg.rf.f22aedc7e0bfb05b3b8435feb1fd0b9b.jpg,416,416,Car,77,187,112,226
Boson_Capture_11_mp4-360_jpg.rf.f22aedc7e0bfb05b3b8435feb1fd0b9b.jpg,416,416,Car,139,191,189,233
Boson_Capture_11_mp4-346_jpg.rf.f2e314d539cef4f68125d9083b35f4eb.jpg,416,416,Truck,355,182,415,265
Boson_Capture_11_mp4-346_jpg.rf.f2e314d539cef4f68125d9083b35f4eb.jpg,416,416,Car,305,210,337,251
Boson_Capture_11_mp4-174_jpg.rf.f546e860e0725c891fb9680220660715.jpg,416,416,Car,324,227,344,247
Boson_Capture_11_mp4-174_jpg.rf.f546e860e0725c891fb9680220660715.jpg,416,416,Car,276,234,305,257
Boson_Capture_11_mp4-174_jpg.rf.f546e860e0725c891fb9680220660715.jpg,416,416,Car,179,244,235,270
Boson_Capture_11_mp4-342_jpg.rf.f0cfd538207fc906b850c9f60768cb96.jpg,416,416,Truck,370,198,414,250
Boson_Capture_11_mp4-342_jpg.rf.f0cfd538207fc906b850c9f60768cb96.jpg,416,416,Car,318,210,352,250
Boson_Capture_11_mp4-342_jpg.rf.f0cfd538207fc906b850c9f60768cb96.jpg,416,416,Car,254,221,284,256
Boson_Capture_11_mp4-342_jpg.rf.f0cfd538207fc906b850c9f60768cb96.jpg,416,416,Car,71,226,198,314
Boson_Capture_11_mp4-343_jpg.rf.f442b0e696795bc52847ff0ec5b126c4.jpg,416,416,Truck,363,180,403,234
Boson_Capture_11_mp4-343_jpg.rf.f442b0e696795bc52847ff0ec5b126c4.jpg,416,416,Car,312,196,343,236
Boson_Capture_11_mp4-343_jpg.rf.f442b0e696795bc52847ff0ec5b126c4.jpg,416,416,Car,45,232,129,288
Boson_Capture_11_mp4-383_jpg.rf.f01b95844c947be85e7d61274b6a2a6a.jpg,416,416,Car,271,218,293,244
Boson_Capture_11_mp4-383_jpg.rf.f01b95844c947be85e7d61274b6a2a6a.jpg,416,416,Car,234,215,275,258
Boson_Capture_11_mp4-383_jpg.rf.f01b95844c947be85e7d61274b6a2a6a.jpg,416,416,Truck,335,151,416,359
Boson_Capture_11_mp4-182_jpg.rf.f47be735b9556e524f4c1e7cca65255a.jpg,416,416,Truck,152,179,233,235
Boson_Capture_11_mp4-182_jpg.rf.f47be735b9556e524f4c1e7cca65255a.jpg,416,416,Truck,235,190,277,234
Boson_Capture_11_mp4-182_jpg.rf.f47be735b9556e524f4c1e7cca65255a.jpg,416,416,Car,77,223,109,250
Boson_Capture_11_mp4-182_jpg.rf.f47be735b9556e524f4c1e7cca65255a.jpg,416,416,Car,0,238,27,308
Boson_Capture_11_mp4-357_jpg.rf.f199d7c3d23ab35fbdae0be5105f4a08.jpg,416,416,Truck,0,5,207,415
